Elapsed time,EKG
00:01:038:920,692
00:01:039:924,691
00:01:040:924,692
00:01:041:928,694
00:01:042:928,692
00:01:043:928,694
00:01:044:932,693
00:01:045:936,696
00:01:046:936,692
00:01:047:940,696
00:01:048:940,693
00:01:049:944,693
00:01:050:944,692
00:01:051:944,691
00:01:052:948,692
00:01:053:948,691
00:01:054:952,697
00:01:055:952,695
00:01:056:956,696
00:01:057:956,698
00:01:058:956,692
00:01:059:960,693
00:01:060:960,694
00:01:061:964,691
00:01:062:964,693
00:01:063:968,692
00:01:064:968,692
00:01:065:972,692
00:01:066:972,696
00:01:067:976,695
00:01:068:976,692
00:01:069:980,698
00:01:070:980,692
00:01:071:984,692
00:01:072:988,691
00:01:073:988,693
00:01:074:988,694
00:01:075:992,695
00:01:076:996,696
00:01:077:996,697
00:01:079:000,696
00:01:080:000,692
00:01:081:004,698
00:01:082:004,691
00:01:083:008,693
00:01:084:008,692
00:01:085:012,693
00:01:086:016,692
00:01:087:016,692
00:01:088:020,693
00:01:089:024,698
00:01:090:024,696
00:01:091:028,696
00:01:092:028,697
00:01:093:032,692
00:01:094:036,693
00:01:095:036,692
00:01:096:040,692
00:01:097:040,692
00:01:098:044,691
00:01:099:048,692
00:01:100:048,696
00:01:101:048,696
00:01:102:052,696
00:01:103:052,697
00:01:104:056,694
00:01:105:060,696
00:01:106:060,694
00:01:107:060,691
00:01:108:064,692
00:01:109:068,691
00:01:110:068,692
00:01:111:068,697
00:01:112:072,692
00:01:113:076,692
00:01:114:076,694
00:01:115:080,694
00:01:116:080,694
00:01:117:084,693
00:01:118:084,692
00:01:119:088,694
00:01:120:088,693
00:01:121:092,692
00:01:122:092,691
00:01:123:092,699
00:01:124:096,697
00:01:125:096,692
00:01:126:100,696
00:01:127:100,693
00:01:128:104,691
00:01:129:108,692
00:01:130:108,692
00:01:131:108,693
00:01:132:108,692
00:01:133:112,692
00:01:134:112,692
00:01:135:112,697
00:01:136:116,693
00:01:137:116,695
00:01:138:124,697
00:01:139:128,691
00:01:140:132,693
00:01:141:132,692
00:01:142:136,691
00:01:143:136,692
00:01:144:140,692
00:01:145:144,693
00:01:146:144,692
00:01:147:144,694
00:01:148:144,691
00:01:149:144,697
00:01:150:144,695
00:01:151:148,693
00:01:152:148,693
00:01:153:148,694
00:01:154:152,692
00:01:155:152,696
00:01:156:152,692
00:01:157:156,694
00:01:158:156,697
00:01:159:156,695
00:01:160:160,695
00:01:161:164,691
00:01:162:164,691
00:01:163:168,691
00:01:164:172,694
00:01:165:172,692
00:01:166:176,691
00:01:167:180,692
00:01:168:180,694
00:01:169:180,695
00:01:170:180,691
00:01:171:184,694
00:01:172:184,696
00:01:173:184,691
00:01:174:188,696
00:01:175:188,691
00:01:176:192,691
00:01:177:192,692
00:01:178:196,693
00:01:179:196,696
00:01:180:200,694
00:01:181:200,696
00:01:182:204,691
00:01:183:204,694
00:01:184:208,694
00:01:185:208,691
00:01:186:212,692
00:01:187:212,691
00:01:188:216,695
00:01:189:220,696
00:01:190:220,698
00:01:191:224,697
00:01:192:228,697
00:01:193:228,691
00:01:194:232,692
00:01:195:232,693
00:01:196:236,692
00:01:197:236,691
00:01:198:240,691
00:01:199:244,691
00:01:200:248,691
00:01:201:248,691
00:01:202:252,691
00:01:203:256,694
00:01:204:256,692
00:01:205:260,695
00:01:206:264,697
00:01:207:264,693
00:01:208:268,696
00:01:209:268,692
00:01:210:272,691
00:01:211:272,691
00:01:212:276,693
00:01:213:276,691
00:01:214:280,696
00:01:215:280,695
00:01:216:284,691
00:01:217:284,691
00:01:218:288,691
00:01:219:288,691
00:01:220:292,691
00:01:221:296,691
00:01:222:296,691
00:01:223:296,691
00:01:224:300,696
