Elapsed time,EMG
00:00:437:020,544
00:00:438:024,575
00:00:439:024,539
00:00:440:028,543
00:00:441:032,576
00:00:442:036,547
00:00:443:036,568
00:00:444:040,591
00:00:445:044,568
00:00:446:044,551
00:00:447:048,547
00:00:448:052,550
00:00:449:056,558
00:00:450:056,540
00:00:451:060,536
00:00:452:064,563
00:00:453:068,547
00:00:454:072,585
00:00:455:072,602
00:00:456:076,566
00:00:457:080,591
00:00:458:084,558
00:00:459:084,541
00:00:460:088,565
00:00:461:088,553
00:00:462:092,563
00:00:463:096,555
00:00:464:096,548
00:00:465:100,553
00:00:466:104,561
00:00:467:108,572
00:00:468:108,551
00:00:469:108,537
00:00:470:112,547
00:00:471:112,555
00:00:472:116,540
00:00:473:120,543
00:00:474:124,563
00:00:475:124,566
00:00:476:128,583
00:00:477:132,585
00:00:478:136,592
00:00:479:140,560
00:00:480:144,544
00:00:481:144,548
00:00:482:148,552
00:00:483:152,540
00:00:484:156,543
00:00:485:156,563
00:00:486:156,549
00:00:487:160,587
00:00:488:160,551
00:00:489:164,549
00:00:490:168,548
00:00:491:172,537
00:00:492:176,539
00:00:493:180,545
00:00:494:184,540
00:00:495:184,564
00:00:496:188,556
00:00:497:192,549
00:00:498:196,626
00:00:499:200,566
00:00:500:204,583
00:00:501:204,585
00:00:502:208,573
00:00:503:212,534
00:00:504:212,540
00:00:505:216,541
00:00:506:220,550
00:00:507:224,553
00:00:508:228,551
00:00:509:232,575
00:00:510:232,567
00:00:511:232,591
00:00:512:232,547
00:00:513:236,557
00:00:514:240,543
00:00:515:244,546
00:00:516:248,553
00:00:517:252,568
00:00:518:256,565
00:00:519:260,592
00:00:520:260,585
00:00:521:264,571
00:00:522:268,588
00:00:523:272,548
00:00:524:272,557
00:00:525:276,533
00:00:526:276,547
00:00:527:276,541
00:00:528:276,556
00:00:529:280,547
00:00:530:284,555
00:00:531:288,568
00:00:532:292,563
00:00:533:292,595
00:00:534:292,550
00:00:535:292,551
00:00:536:296,548
00:00:537:300,543
00:00:538:308,556
00:00:539:312,582
00:00:540:316,566
00:00:541:320,584
00:00:542:324,603
00:00:543:324,571
00:00:544:328,585
00:00:545:332,542
00:00:546:336,542
00:00:547:340,544
00:00:548:344,546
00:00:549:344,539
00:00:550:344,552
00:00:551:344,545
00:00:552:348,558
00:00:553:348,611
00:00:554:352,590
00:00:555:356,569
00:00:556:360,552
00:00:557:360,545
00:00:558:364,588
00:00:559:364,551
00:00:560:368,548
00:00:561:368,567
00:00:562:372,554
00:00:563:376,572
00:00:564:376,583
00:00:565:380,569
00:00:566:380,568
00:00:567:380,540
00:00:568:384,546
00:00:569:388,541
00:00:570:392,536
00:00:571:392,536
00:00:572:396,560
00:00:573:400,558
00:00:574:404,607
00:00:575:404,602
00:00:576:408,583
00:00:577:412,549
00:00:578:416,560
00:00:579:416,554
00:00:580:420,555
00:00:581:424,559
00:00:582:428,546
00:00:583:428,553
00:00:584:432,561
00:00:585:436,604
00:00:586:436,570
00:00:587:436,550
00:00:588:440,551
00:00:589:444,533
00:00:590:448,542
00:00:591:448,547
00:00:592:452,550
00:00:593:456,554
00:00:594:460,548
00:00:595:464,573
00:00:596:468,606
00:00:597:472,575
00:00:598:476,600
00:00:599:480,558
00:00:600:484,556
00:00:601:488,543
00:00:602:492,543
00:00:603:492,540
00:00:604:496,547
00:00:605:500,563
00:00:606:500,554
00:00:607:504,607
00:00:608:508,550
00:00:609:512,548
00:00:610:512,554
00:00:611:512,571
00:00:612:512,535
00:00:613:516,543
00:00:614:516,541
00:00:615:516,557
00:00:616:520,578
00:00:617:520,571
00:00:618:524,577
00:00:619:524,579
00:00:620:528,582
00:00:621:532,553
00:00:622:532,551
00:00:623:532,540
00:00:624:536,543
00:00:625:540,551
00:00:626:544,545
00:00:627:544,545
00:00:628:548,564
00:00:629:552,580
00:00:630:556,565
00:00:631:556,551
00:00:632:560,539
00:00:633:564,555
00:00:634:564,565
00:00:635:568,543
00:00:636:572,545
00:00:637:576,563
00:00:638:576,558
00:00:639:580,574
00:00:640:584,635
00:00:641:588,565
00:00:642:592,575
00:00:643:592,545
00:00:644:596,551
00:00:645:600,537
00:00:646:604,543
00:00:647:604,550
00:00:648:608,547
00:00:649:612,546
00:00:650:612,560
00:00:651:616,579
00:00:652:620,568
00:00:653:624,563
00:00:654:624,556
00:00:655:628,552
00:00:656:632,585
00:00:657:636,545
00:00:658:636,547
00:00:659:640,582
00:00:660:644,571
00:00:661:648,590
00:00:662:652,620
00:00:663:652,601
00:00:664:656,553
00:00:665:660,545
00:00:666:664,544
00:00:667:668,547
00:00:668:672,548
00:00:669:672,531
00:00:670:676,546
00:00:671:676,562
00:00:672:676,601
00:00:673:680,624
00:00:674:684,574
00:00:675:688,563
00:00:676:692,557
00:00:677:692,553
00:00:678:692,559
00:00:679:696,559
00:00:680:700,572
00:00:681:704,568
00:00:682:708,572
00:00:683:716,583
00:00:684:720,565
00:00:685:724,565
00:00:686:728,541
00:00:687:728,545
00:00:688:732,542
00:00:689:736,540
00:00:690:740,539
00:00:691:744,553
00:00:692:748,568
00:00:693:752,547
00:00:694:752,606
00:00:695:756,578
00:00:696:760,591
00:00:697:764,569
00:00:698:764,595
00:00:699:768,547
00:00:700:772,550
00:00:701:776,545
00:00:702:776,551
00:00:703:776,554
00:00:704:776,548
00:00:705:780,575
00:00:706:784,547
00:00:707:784,559
00:00:708:784,551
00:00:709:788,535
00:00:710:788,534
00:00:711:788,543
00:00:712:792,544
00:00:713:792,564
00:00:714:796,567
00:00:715:800,571
00:00:716:800,619
00:00:717:800,578
00:00:718:800,620
00:00:719:804,560
00:00:720:808,570
00:00:721:812,556
00:00:722:816,543
00:00:723:820,546
00:00:724:824,555
00:00:725:828,550
00:00:726:832,548
00:00:727:832,559
00:00:728:832,554
00:00:729:832,579
00:00:730:836,543
00:00:731:848,568
00:00:732:852,560
00:00:733:856,536
00:00:734:856,540
00:00:735:860,553
00:00:736:864,560
00:00:737:864,575
00:00:738:868,617
00:00:739:868,577
00:00:740:872,604
00:00:741:876,549
00:00:742:876,551
00:00:743:880,543
00:00:744:884,537
00:00:745:888,541
00:00:746:892,561
00:00:747:896,571
00:00:748:900,568
00:00:749:904,604
00:00:750:904,551
00:00:751:904,556
00:00:752:908,541
00:00:753:912,551
00:00:754:916,562
00:00:755:920,550
00:00:756:924,553
00:00:757:928,563
00:00:758:932,577
00:00:759:936,562
00:00:760:940,623
00:00:761:944,577
00:00:762:948,559
00:00:763:952,543
00:00:764:956,543
00:00:765:960,549
00:00:766:964,540
00:00:767:968,550
00:00:768:972,542
00:00:769:976,550
00:00:770:980,587
00:00:771:984,615
00:00:772:988,578
00:00:773:992,556
00:00:774:996,550
00:00:776:000,547
00:00:777:004,589
00:00:778:008,550
00:00:779:012,564
00:00:780:016,551
00:00:781:016,575
00:00:782:020,609
00:00:783:020,583
00:00:784:020,574
00:00:785:020,548
00:00:786:024,539
00:00:787:028,539
00:00:788:032,550
00:00:789:036,537
00:00:790:040,548
00:00:791:044,548
00:00:792:048,543
00:00:793:052,614
00:00:794:056,579
00:00:795:060,551
00:00:796:064,561
00:00:797:068,569
00:00:798:072,547
00:00:799:076,548
00:00:800:080,549
00:00:801:080,557
00:00:802:084,574
00:00:803:088,568
00:00:804:092,633
00:00:805:092,568
00:00:806:096,579
00:00:807:096,543
00:00:808:100,544
00:00:809:104,556
00:00:810:108,544
00:00:811:108,538
00:00:812:112,567
00:00:813:116,557
